,logFC,PValue,FDR
ENSSSCG00000017883,-4.8493147390124,3.61582094852618e-05,0.00219280012575255
ENSSSCG00000006003,3.77059649131757,3.68763403601777e-05,0.00222858577766977
ENSSSCG00000008603,4.43861926722082,3.82291301717715e-05,0.00230234605757676
ENSSSCG00000026849,-4.07489628574523,3.93846341105878e-05,0.00236375709205097
ENSSSCG00000014083,3.90312857692348,4.16285452075185e-05,0.00248984477435347
ENSSSCG00000029756,-7.77746508189686,4.21584666660937e-05,0.00251290449425809
ENSSSCG00000049444,3.974410956055,4.24743328761644e-05,0.00252097285390378
ENSSSCG00000053158,-4.12232719073619,4.25835115798743e-05,0.00252097285390378
ENSSSCG00000013571,7.6236015446534,4.28813128763428e-05,0.00252999745970423
ENSSSCG00000036461,3.90549915769208,4.39977853588874e-05,0.00257914237897218
ENSSSCG00000037013,3.83246802639543,4.40106455934925e-05,0.00257914237897218
ENSSSCG00000039874,-3.80495278843006,4.46834116330601e-05,0.00260978113917252
ENSSSCG00000020845,3.80908485135579,4.59358049232843e-05,0.00267395546718984
ENSSSCG00000006262,-4.52214099948016,4.8474532382391e-05,0.0028054796619567
ENSSSCG00000011723,3.70808387100817,4.85176316144192e-05,0.0028054796619567
ENSSSCG00000057867,-7.72707382655596,4.98820640828127e-05,0.00282800431713796
ENSSSCG00000036570,-7.72707382655596,4.98820640828127e-05,0.00282800431713796
ENSSSCG00000009936,-7.72707382655596,4.98820640828127e-05,0.00282800431713796
ENSSSCG00000027981,-7.72707382655596,4.98820640828127e-05,0.00282800431713796
ENSSSCG00000049579,-7.72707382655596,4.98820640828127e-05,0.00282800431713796
ENSSSCG00000007130,-7.72707382655596,4.98820640828127e-05,0.00282800431713796
ENSSSCG00000036943,-4.00604971858922,5.13024606568985e-05,0.00289908872640688
ENSSSCG00000029392,3.68465477148657,5.15503306461237e-05,0.00290261928396862
ENSSSCG00000006876,-4.5042486046216,5.18118019762099e-05,0.00290261928396862
ENSSSCG00000037582,3.72140579020199,5.18652454647653e-05,0.00290261928396862
ENSSSCG00000042458,7.5598036899497,5.32100505500746e-05,0.00295885281093945
ENSSSCG00000039813,7.5598036899497,5.32100505500746e-05,0.00295885281093945
ENSSSCG00000008292,-3.66796072672332,5.35727033813183e-05,0.00296953153615237
ENSSSCG00000054127,-3.79759152331996,5.41615283241113e-05,0.00299263936660685
ENSSSCG00000009152,-3.71191318264546,5.44819647163263e-05,0.00300081834141664
ENSSSCG00000037110,-4.33514275260106,5.5351202140421e-05,0.00303907783360892
