genes	endo03	endo06	endo09	ovary03	ovary06	ovary09	ovid03	ovid06	ovid09
ENSSSCG00000007977	0	0	0	8.09419207085555	0	0	0	0	0
ENSSSCG00000007978	3.7838178344297	-0.0263068254209313	2.4838888104515	6.01932160666783	-0.88285768650718	0.995483900346865	2.12009217066079	2.05925854985218	2.46772905309804
ENSSSCG00000007995	1.48223515299946	1.74574758019542	1.26832385793168	6.93644456540523	3.86058242691716	4.45011679477575	0.378292003195632	-0.0126153062540053	0.317571931304438
ENSSSCG00000008115	1.40263143704525	1.07377981231747	-0.292393978507453	-8.20655314682825	-4.02832239608375	-2.76780878112677	-2.22224886989791	-1.04938979051962	1.15220458152119
ENSSSCG00000008124	-0.484415836382	-3.28999638603924	-7.31076140149842	-2.66454925167476	-0.718807449097321	0.162474990410463	0	0	0
ENSSSCG00000008294	-2.65160062183207	-3.12873091631376	-2.90395607447792	-3.63499230426811	-5.11210927966123	-4.44920480522547	-1.0001658327218	-4.18686960831123	-5.56678061482936
ENSSSCG00000008449	0.59326850908778	5.96160336139095	3.27981162636912	0.695063166127296	0	1.20965147857062	1.33947546959092	1.01898895838687	0.773935120652345
ENSSSCG00000008501	-1.8716782246739	-2.90036640773649	-6.92128084605423	-7.24771116728415	-1.13067680922744	-0.509638950513444	0	0	0
ENSSSCG00000008522	0	10.6212970147514	9.98612709177732	-3.03852486512831	-8.16585342001694	-8.03086625154873	0	0	2.7702719435815
ENSSSCG00000008524	0	0	0	-7.62403047069185	-3.44580539359883	-7.48592216790863	0	0	0
ENSSSCG00000008563	-0.481790234438816	0.603991883549744	-0.392523514516445	9.16570751400439	8.53909496824967	9.37377226557711	-0.28082323054723	0.448831099350256	0.57766502876595
ENSSSCG00000008564	0	0	0	7.00705354972009	9.07266728096332	8.79013297689841	-0.00428835158923816	-0.618784884925098	-1.51278488542346
ENSSSCG00000008618	-2.68533635400682	-5.16105521484031	-5.12296227656621	-0.625074068721343	-0.259237460988465	0.229863841715497	1.80051967905184	2.34551976145535	0.9349614553801
ENSSSCG00000008741	0.294602479769933	0.197040977530876	1.31477551173556	-7.24771116728415	-3.06949118008971	-7.10982292358204	-5.4117701974351	-3.55941220722755	-4.70763331947801
ENSSSCG00000008824	0	0	0	-3.84543513633565	-4.24984099018849	-5.50573318577181	0	0	0
ENSSSCG00000008830	1.12101663592425	4.67421833779752	5.09345362279566	0	0	0	0.239315510222814	2.24800367926022	1.35470407345235
ENSSSCG00000008949	0	9.72810028376252	10.3739667110664	0	0	0	0	0	0
ENSSSCG00000008953	-2.14420004111838	-5.46081388989033	-5.30250171146243	3.09067724671103	0	0	0	0.741906018672108	0
