genes,Min_FDR,Max_abs_logFC
ENSSSCG00000015662,3.04211651127564e-07,6.35379113648244
ENSSSCG00000040130,3.07233461112021e-07,10.3130085776581
ENSSSCG00000021227,3.07233461112021e-07,10.2281843918236
ENSSSCG00000036008,3.3637404239452e-07,7.578282698319
ENSSSCG00000004509,3.38952559057235e-07,6.42048659062222
ENSSSCG00000007164,3.44675601635971e-07,7.89501147734274
ENSSSCG00000058302,3.53210440272255e-07,6.63621891515197
ENSSSCG00000046471,3.59380633102688e-07,6.42098255545789
ENSSSCG00000058706,3.62111648618564e-07,7.34917916036614
ENSSSCG00000013248,3.74275887383035e-07,6.20407947154527
ENSSSCG00000005494,3.82096052758172e-07,6.18577621468244
ENSSSCG00000034062,3.85190404307065e-07,7.58046857034207
ENSSSCG00000009936,3.91258253152233e-07,10.591835683305
ENSSSCG00000008949,3.91258253152233e-07,10.3739667110664
ENSSSCG00000010753,3.91258253152233e-07,7.98011182165688
ENSSSCG00000014186,3.92160783649919e-07,10.1595303124766
ENSSSCG00000013015,3.93117258970855e-07,7.48725289562003
ENSSSCG00000006792,3.94977155541124e-07,10.6598940910082
ENSSSCG00000039344,3.96618200672438e-07,10.3797103844098
ENSSSCG00000016628,4.00694166522823e-07,6.59571683106034
ENSSSCG00000022948,4.07838187814493e-07,6.46676122794176
ENSSSCG00000008618,4.19710905594273e-07,7.60738457309862
ENSSSCG00000035018,4.20934711686006e-07,10.8123835814801
ENSSSCG00000039874,4.42521419888144e-07,6.8692275977896
ENSSSCG00000031904,4.5283579108826e-07,6.37364738556898
ENSSSCG00000001625,4.59103691388063e-07,6.56751914181713
ENSSSCG00000054186,4.81436815061156e-07,6.56499092783737
ENSSSCG00000003417,4.83972190577783e-07,10.8288867383849
ENSSSCG00000002479,4.9070930777526e-07,7.91580444957686
ENSSSCG00000003777,4.97884069745388e-07,6.3291943898188
ENSSSCG00000033702,5.14493726086223e-07,6.14245715339942
