,logFC.groupovary,logFC.groupovid,PValue,FDR
ENSSSCG00000029420,0.181732811869793,0.495778811292165,0.325744139235567,0.377871495444237
ENSSSCG00000004813,0.228935923270367,-0.140334157006106,0.325776406018732,0.377880714319418
ENSSSCG00000000806,0.182398531375611,-0.14624957814187,0.325793557033949,0.377880714319418
ENSSSCG00000002426,0.271099793115972,0.201614356889037,0.326070760058768,0.378178166569783
ENSSSCG00000009933,0.0377798369545312,-0.226020406505792,0.326203290562512,0.378307799873439
ENSSSCG00000006736,-0.3189103491473,-0.660764397048214,0.326387308674869,0.378497124612842
ENSSSCG00000059880,-0.813405527287804,0.123976233910694,0.326415974785159,0.378506281781925
ENSSSCG00000054758,-0.137114369408158,0.241405977157204,0.32665263870752,0.378756613081749
ENSSSCG00000001403,0.0912630911112,0.618663623239481,0.32674220124934,0.378836358033336
ENSSSCG00000030017,0.236309344202547,0.0207539275385579,0.326870374972949,0.378960857147848
ENSSSCG00000010779,-0.457016395660894,-0.471494225576446,0.32695144202,0.379030730239979
ENSSSCG00000061599,-0.106246685522431,0.226776744384351,0.327565666609941,0.379712087639788
ENSSSCG00000018045,0.121372270203999,0.263833020926992,0.327580851726994,0.379712087639788
ENSSSCG00000048264,-0.422546956281075,-0.933522691012469,0.327620672714888,0.379734092702163
ENSSSCG00000028033,0.0274054709051639,-0.22061570619324,0.327870848302467,0.37999989439482
ENSSSCG00000026729,0.470179469013845,0.107739872080018,0.328094373663769,0.380234776829795
ENSSSCG00000028585,-0.210986810345528,-0.130416642189392,0.328298090819087,0.380446674748
ENSSSCG00000048076,0.204510618201922,1.07790228120619,0.328590901098519,0.38076178429576
ENSSSCG00000023460,-0.629837182348561,0.0760455586707733,0.328634861529537,0.380788511985903
ENSSSCG00000037341,0.205576531585267,-0.0247948111095942,0.329096065133971,0.381297859891917
ENSSSCG00000004926,-0.157424995093678,0.100062456572737,0.329116293684145,0.381297859891917
ENSSSCG00000002408,0.441992993275531,0.029805274010683,0.329266768470541,0.38144794282672
ENSSSCG00000060753,-0.218694684451531,-0.742330544972511,0.329488026009387,0.381680001652369
ENSSSCG00000016711,-0.295493641809027,-0.233190865616202,0.329743067822184,0.381951164303787
ENSSSCG00000031141,0.193033967005145,0.516263151314421,0.329769470651559,0.38195747001106
ENSSSCG00000060076,0.836226486258513,0.0164373945791999,0.330326057515637,0.382562653317597
ENSSSCG00000035824,0.208138498888937,-0.0261636450076114,0.33033395042832,0.382562653317597
ENSSSCG00000026680,-0.664775321089791,0.116226227609157,0.330617084885878,0.382866223229348
ENSSSCG00000037671,-0.229986240128105,-0.252676866235966,0.330708700454502,0.382947983039957
ENSSSCG00000013585,-0.200240387866733,-0.286840130899489,0.331366405779167,0.383685201024179
ENSSSCG00000002672,-0.279445892631948,-0.0903660627495976,0.331401174723543,0.383701080569368
ENSSSCG00000011491,0.196289523377333,0.263786137687732,0.331687322849398,0.383992611658517
ENSSSCG00000008144,0.299040309225344,0.165365809363386,0.331695110443831,0.383992611658517
ENSSSCG00000053805,-0.423298677597726,0.105921130192203,0.331872081163122,0.384173080551148
ENSSSCG00000004687,-0.372015702914485,-0.35872111255179,0.331910147405591,0.384192741763179
ENSSSCG00000000522,0.25033154083321,0.329636119622393,0.332078510761791,0.384363212456201
ENSSSCG00000017942,-0.511608691975859,0.165120871188807,0.332112654156591,0.384378318896844
ENSSSCG00000011022,-0.191320924404287,0.240067211071883,0.332214785166008,0.384472105471857
ENSSSCG00000033490,-0.552090588640348,-0.721685337252351,0.332319747862697,0.384569157038976
ENSSSCG00000028329,-0.288020469098046,-0.543588965078589,0.332410334915674,0.384649561464426
ENSSSCG00000029228,0.25995571195148,0.101185499134075,0.332590953937138,0.384834129812724
ENSSSCG00000017904,-0.22540336473202,0.312281502481349,0.33279656080452,0.385047585810525
ENSSSCG00000028182,0.221716109547301,0.0483834122767804,0.332911405148825,0.385156008597777
ENSSSCG00000020663,-0.28603427033104,0.0156481790679954,0.332978931854873,0.385209677783483
ENSSSCG00000055540,0.52472674710685,-0.554206580710556,0.33316074882846,0.38539554948901
ENSSSCG00000036990,-1.02957155099931,-0.996556465384499,0.333251812662418,0.385476422339569
ENSSSCG00000001516,-0.0436455988623764,-0.25238059453347,0.333320261697874,0.385527001781442
ENSSSCG00000054775,0.421359077332405,0.0393375203307384,0.333337849378303,0.385527001781442
ENSSSCG00000008484,-0.246577565197123,0.0983699760894281,0.333375710573981,0.38554632247114
ENSSSCG00000037982,-0.394364625982986,0.231378523860664,0.333633016211174,0.385819410332663
ENSSSCG00000019358,1.07250835133154,0.84163415196236,0.333850842141948,0.386046811370233
ENSSSCG00000041010,-1.03188549951044,-0.603782811587228,0.333936584156872,0.386121458643159
ENSSSCG00000009090,-0.321585734188688,-0.401488078603508,0.334192311797918,0.386390918079366
ENSSSCG00000058735,-0.138178677126614,0.134485520298121,0.334212030382191,0.386390918079366
ENSSSCG00000007855,-0.0134640094298058,0.512091324317897,0.334389177663198,0.3865711985368
ENSSSCG00000009276,-0.190905892704668,-0.142777167132423,0.334643178827671,0.386840297555058
ENSSSCG00000039230,0.0929814222236531,-0.139654286264975,0.33511523645969,0.387361415022287
ENSSSCG00000005308,-0.262158021529572,-0.215616748475571,0.335374001228063,0.387635935712578
ENSSSCG00000007047,-0.450141347830604,-0.397300255789839,0.335785621133695,0.388087085206777
ENSSSCG00000033191,0.0401970122720465,-0.539753765411756,0.335865662480413,0.388154977046296
ENSSSCG00000057314,-0.365771383290919,-0.133350958764458,0.335945655141017,0.388222804013309
ENSSSCG00000015711,0.437330071818247,-0.310302573956994,0.335968694410236,0.388224810534027
ENSSSCG00000004614,0.495074216767136,0.93654484514309,0.336238651733751,0.388512122064157
ENSSSCG00000041959,-0.547761217002487,0.211290302238374,0.336356722496361,0.388623908627
ENSSSCG00000004328,0.287257920127217,0.166614518046287,0.336594896662495,0.388874438745867
ENSSSCG00000056070,-0.374223981506781,0.0126791823507303,0.336651648362194,0.388906215903067
ENSSSCG00000046452,0.0193648319906509,-0.392275494758009,0.33666508242355,0.388906215903067
ENSSSCG00000010310,-0.106253925012849,-0.234437610254633,0.336773656309515,0.389006979310681
ENSSSCG00000052938,-0.627458625010239,0.42464577073861,0.337563087274302,0.389894137564132
ENSSSCG00000008339,0.444888564922683,0.0882237913907216,0.338118321371323,0.390510697044869
ENSSSCG00000025513,0.13136243141248,0.518215839628871,0.338299706359741,0.390695427674267
ENSSSCG00000008535,0.681620559790751,0.969928998903569,0.338433408351825,0.390825070261939
ENSSSCG00000015627,0.576937722676047,0.488519630300725,0.338632653894596,0.391030381737113
ENSSSCG00000003435,-0.352008364914084,0.0295425084700831,0.338660025357383,0.391037211057021
ENSSSCG00000003787,-0.133307542392403,0.243573240415295,0.338804317090385,0.391179034126658
ENSSSCG00000005654,0.315930967560615,0.275954515225002,0.33885439996448,0.391212073801247
ENSSSCG00000035544,0.0785725830876229,-0.429191017077557,0.339095742989861,0.391465907782036
