Gene stable ID,Gene name
ENSSSCG00000057082,
ENSSSCG00000045775,
ENSSSCG00000052024,
ENSSSCG00000046979,
ENSSSCG00000038405,STMN3
ENSSSCG00000017013,FBLL1
ENSSSCG00000023531,
ENSSSCG00000016750,YKT6
ENSSSCG00000038893,
ENSSSCG00000047908,
ENSSSCG00000038869,APLNR
ENSSSCG00000043931,
ENSSSCG00000056773,
ENSSSCG00000046318,
ENSSSCG00000037833,
ENSSSCG00000054295,
ENSSSCG00000042917,
ENSSSCG00000053684,
ENSSSCG00000039160,RTEL1
ENSSSCG00000056021,
ENSSSCG00000040371,
ENSSSCG00000058593,
ENSSSCG00000061832,
ENSSSCG00000048334,
ENSSSCG00000016751,GCK
ENSSSCG00000047817,
ENSSSCG00000045093,
ENSSSCG00000038004,
ENSSSCG00000054478,
ENSSSCG00000045074,
ENSSSCG00000030598,OR12D3
ENSSSCG00000057294,
ENSSSCG00000060732,
ENSSSCG00000047692,
ENSSSCG00000057429,
ENSSSCG00000052677,
ENSSSCG00000059797,
ENSSSCG00000042765,
ENSSSCG00000059954,
ENSSSCG00000052933,
ENSSSCG00000055764,
ENSSSCG00000057931,
ENSSSCG00000048379,
ENSSSCG00000055511,
